"Rank"	"NodeID"	"Drug"	"Score"
496	"DB09231"	"benidipine"	4.66829029802234e-09
497	"DB00818"	"propofol"	4.60679838961608e-09
498	"DB11703"	"acalabrutinib"	4.53196456122376e-09
499	"DB14975"	"voxelotor"	4.50783411286417e-09
500	"DB01222"	"budesonide"	4.49101720169661e-09
501	"DB00276"	"amsacrine"	4.45219601471277e-09
502	"DB01167"	"itraconazole"	4.36873004545147e-09
503	"DB00822"	"disulfiram"	4.09101460540934e-09
504	"DB09026"	"aliskiren"	4.08271228109553e-09
505	"DB00696"	"ergotamine"	4.04876557546311e-09
506	"DB00396"	"progesterone"	4.03343783587255e-09
507	"DB11121"	"chloroxylenol"	4.03105903609278e-09
508	"DB06774"	"capsaicin"	3.98895607671911e-09
509	"DB00212"	"remikiren"	3.97032175258841e-09
510	"DB09039"	"eliglustat"	3.91558754636924e-09
511	"DB01259"	"lapatinib"	3.89455306989196e-09
512	"DB00342"	"terfenadine"	3.76463882779043e-09
513	"DB09053"	"ibrutinib"	3.62769311073608e-09
514	"DB01014"	"balsalazide"	3.50678356729177e-09
515	"DB00624"	"testosterone"	3.42602688198081e-09
516	"DB00807"	"proparacaine"	3.14598254986999e-09
517	"DB00486"	"nabilone"	3.13065684769758e-09
518	"DB01094"	"hesperetin"	3.08865662385289e-09
519	"DB00834"	"mifepristone"	2.85362635767949e-09
520	"DB00738"	"pentamidine"	2.83521459672814e-09
521	"DB00461"	"nabumetone"	2.79079332959858e-09
522	"DB01599"	"probucol"	2.76703940451272e-09
523	"DB01204"	"mitoxantrone"	2.63913225392586e-09
524	"DB01115"	"nifedipine"	2.53933514146981e-09
525	"DB00829"	"diazepam"	2.46265434306046e-09
526	""	"ly2835219"	2.40339187853773e-09
527	"DB00150"	"l-tryptophan"	2.35431314352496e-09
528	"DB00951"	"isoniazid"	2.2317260052266e-09
529	"DB00384"	"triamterene"	1.94698416134885e-09
530	"DB12016"	"ponesimod"	1.92759831885924e-09
531	"DB00095"	"efalizumab"	1.87663867131596e-09
532	"DB00997"	"doxorubicin"	1.84549095403156e-09
533	"DB12371"	"siponimod"	1.78325566334623e-09
534	"DB12095"	"telotristat ethyl"	1.64267294875411e-09
535	"DB00488"	"altretamine"	1.63243732743299e-09
536	"DB14218"	"telotristat"	1.57055234052599e-09
537	"DB01275"	"hydralazine"	1.51959472404154e-09
538	"DB11978"	"glasdegib"	1.45660040852563e-09
539	"DB11157"	"anthralin"	1.408032986721e-09
540	"DB00404"	"alprazolam"	1.4070262934493e-09
541	"DB00118"	"ademetionine"	1.39548108248845e-09
542	"DB06626"	"axitinib"	1.39158328315497e-09
543	"DB13132"	"artemisinin"	1.37410375671184e-09
544	"DB09143"	"sonidegib"	1.37250090128013e-09
545	"DB06290"	"simeprevir"	1.28497147028735e-09
546	""	"guanfacine extended release"	1.24593374300335e-09
547	"DB00440"	"trimethoprim"	1.24428579876884e-09
548	"DB00035"	"desmopressin"	1.22576542127073e-09
549	"DB01282"	"carbetocin"	1.21260665850696e-09
550	"DB00067"	"vasopressin"	1.15044695964776e-09
551	"DB01218"	"halofantrine"	1.14249118733323e-09
552	"DB01157"	"trimetrexate"	1.07867330633899e-09
553	"DB09059"	"atosiban"	1.06853225744835e-09
554	"DB00737"	"meclizine"	1.03801173514028e-09
555	"DB15719"	"belantamab mafodotin"	1.0170251386521e-09
556	"DB13169"	"nandrolone"	1.0095589888597e-09
557	"DB00107"	"oxytocin"	1.00746607619897e-09
558	"DB12612"	"ozanimod"	9.82980778472304e-10
559	"DB01234"	"dexamethasone"	9.50345022401798e-10
560	"DB00650"	"leucovorin"	9.42814018389552e-10
561	"DB12130"	"lorlatinib"	9.23312355848687e-10
562	"DB08868"	"fingolimod"	8.89523361144251e-10
563	""	"sufinpyrazone"	8.36818999931211e-10
564	"DB00470"	"dronabinol"	8.2458634937842e-10
565	"DB08889"	"carfilzomib"	7.94163598716802e-10
566	""	"gallium oxodotreotide"	7.66795289765397e-10
567	""	"pf-04971729"	7.1112603860876e-10
568	"DB06186"	"ipilimumab"	6.59734680111982e-10
569	"DB09302"	"alirocumab"	6.47544518825718e-10
570	"DB00250"	"dapsone"	6.30298861922118e-10
571	"DB09290"	"ramosetron"	6.15417227240134e-10
572	"DB09303"	"evolocumab"	6.13008581503934e-10
573	"DB11827"	"ertugliflozin"	5.82591705406224e-10
574	"DB00673"	"aprepitant"	5.80867652251068e-10
575	"DB11617"	"aclarubicin"	5.78189180279477e-10
576	"DB04571"	"trioxsalen"	5.71101878373404e-10
577	""	"azasetron"	5.68004574133331e-10
578	""	"dequalinium"	5.53838878825033e-10
579	"DB11644"	"tafamidis"	5.39513460895316e-10
580	"DB01133"	"tiludronic acid"	5.33815548406877e-10
581	"DB00377"	"palonosetron"	5.0362912474117e-10
582	"DB06817"	"raltegravir"	4.98753573491343e-10
583	"DB09185"	"viloxazine"	4.92547908020086e-10
584	"DB07776"	"flavone"	4.8400894918672e-10
585	"DB14754"	"solriamfetol"	4.69328913094171e-10
586	"DB01195"	"flecainide"	4.67861602184954e-10
587	""	"mozavaptan"	4.60532396693967e-10
588	"DB12530"	"inebilizumab"	4.58413660970426e-10
589	"DB01003"	"cromoglicic acid"	4.46082885492142e-10
590	"DB00242"	"cladribine"	4.42877355055656e-10
591	"DB12245"	"triclabendazole"	4.39695494347846e-10
592	""	"&delta;<sup>9</sup>-tetrahydrocannabinol"	4.30586040171049e-10
593	"DB00929"	"misoprostol"	4.22246773744087e-10
594	"DB00343"	"diltiazem"	4.18649379275169e-10
595	"DB06794"	"lodoxamide"	4.08054987051435e-10
596	"DB01003"	"cromolyn"	3.99992554879951e-10
597	""	"fadrozole"	3.84887759570721e-10
598	"DB04835"	"maraviroc"	3.83906171253224e-10
599	""	"ipi-145"	3.78707568619498e-10
600	"DB14020"	"benzoin"	3.75760472125685e-10
601	"DB01244"	"bepridil"	3.65118038715433e-10
602	""	"misoprostol (methyl ester)"	3.62247976303166e-10
603	""	"carazolol"	3.52979609534192e-10
604	"DB06813"	"pralatrexate"	3.49650021190155e-10
605	"DB00252"	"phenytoin"	3.43865438906469e-10
606	"DB06729"	"sulfaphenazole"	3.43561872171907e-10
607	"DB11823"	"esketamine"	3.39281104722966e-10
608	""	"marinol"	3.37693147435688e-10
609	"DB13928"	"semaglutide"	3.3086052805941e-10
610	"DB01054"	"nitrendipine"	3.23261893838797e-10
611	"DB01276"	"exendin-4"	3.15729267033249e-10
612	"DB00862"	"vardenafil"	3.07806830015328e-10
613	""	"r0-93877"	3.07270259126017e-10
614	"DB06155"	"rimonabant"	3.04655620732574e-10
615	"DB06655"	"liraglutide"	3.02007172834086e-10
616	"DB06480"	"prucalopride"	2.90143286207613e-10
617	"DB00697"	"tizanidine"	2.85938992367264e-10
618	"DB09265"	"lixisenatide"	2.82886616304295e-10
619	"DB11952"	"duvelisib"	2.82821151348791e-10
620	"DB01274"	"arformoterol"	2.82704915762078e-10
621	"DB01276"	"exenatide"	2.81683472473697e-10
622	"DB08893"	"mirabegron"	2.81626823413447e-10
623	"DB00489"	"sotalol"	2.81077054786287e-10
624	"DB01203"	"nadolol"	2.80655901124728e-10
625	"DB00040"	"glucagon"	2.79863729422603e-10
626	"DB00612"	"bisoprolol"	2.79771480153811e-10
627	"DB05232"	"tetrodotoxin"	2.79349275741859e-10
628	"DB01081"	"diphenoxylate"	2.77016863168309e-10
629	"DB00987"	"cytarabine"	2.7425960783481e-10
630	"DB02530"	"gamma-aminobutyric acid"	2.74203917026713e-10
631	""	"pge<sub>2</sub>"	2.72005386714905e-10
632	"DB12688"	"moxetumomab pasudotox"	2.67305738701523e-10
633	"DB01436"	"alfacalcidol"	2.67091297776674e-10
634	"DB00195"	"betaxolol"	2.65093326268814e-10
635	"DB00373"	"timolol"	2.64316243320972e-10
636	"DB00040"	"glucagon recombinant"	2.63687087715773e-10
637	"DB01407"	"clenbuterol"	2.63671366303036e-10
638	"DB00286"	"conjugated estrogens"	2.58618220592739e-10
639	"DB08808"	"bupranolol"	2.55341964664426e-10
640	"DB01576"	"dexamfetamine"	2.45373452883912e-10
641	"DB00889"	"granisetron"	2.45167487701908e-10
642	"DB00374"	"treprostinil"	2.36851436743936e-10
643	"DB01297"	"practolol"	2.35526291358884e-10
644	"DB06701"	"dexmethylphenidate"	2.34372142723528e-10
645	""	"pge<sub>1</sub>"	2.32932783933947e-10
646	"DB01193"	"acebutolol"	2.30177662109104e-10
647	"DB06274"	"alvimopan"	2.28680861866169e-10
648	"DB00424"	"hyoscyamine"	2.27869046785459e-10
649	"DB01427"	"inamrinone"	2.18840408181924e-10
650	"DB01001"	"salbutamol"	2.15781710088462e-10
651	"DB13262"	"aceclidine"	2.14866860806611e-10
652	"DB05889"	"inotuzumab ozogamicin"	2.13486986666686e-10
653	"DB00268"	"ropinirole"	2.12254991038351e-10
654	"DB01230"	"pemoline"	2.09558898740035e-10
655	"DB09351"	"levobetaxolol"	2.05778299650741e-10
656	"DB06218"	"lacosamide"	2.02781859318587e-10
657	"DB00245"	"benzatropine"	2.02509476464679e-10
658	"DB00381"	"amlodipine"	2.02348664125368e-10
659	"DB06218"	"erlosamide"	1.99975026662503e-10
660	"DB11315"	"methscopolamine"	1.99625069953049e-10
661	"DB11855"	"revefenacin"	1.97925036920681e-10
662	"DB00810"	"biperiden"	1.97413689393704e-10
663	"DB01221"	"ketamine"	1.96995855619631e-10
664	"DB00670"	"pirenzepine"	1.92601351874343e-10
665	"DB00401"	"nisoldipine"	1.92124640491291e-10
666	"DB12833"	"tandospirone"	1.91452795419703e-10
667	""	"glycopyrrolate"	1.91055343053041e-10
668	"DB01591"	"solifenacin"	1.90245077733536e-10
669	"DB00866"	"alprenolol"	1.90208762551739e-10
670	"DB00931"	"methacycline"	1.86912076614431e-10
671	"DB00275"	"olmesartan"	1.86649628248987e-10
672	"DB08897"	"aclidinium"	1.86334721766172e-10
673	"DB00745"	"modafinil"	1.85282338201562e-10
674	"DB00747"	"scopolamine"	1.85135491259896e-10
675	"DB00917"	"dinoprostone"	1.83508128708417e-10
676	"DB00221"	"isoetharine"	1.8343777996224e-10
677	"DB00816"	"orciprenaline"	1.81763912805748e-10
678	"DB01088"	"iloprost"	1.81101001254854e-10
679	"DB08801"	"dimethindene"	1.80208004682996e-10
680	"DB00332"	"ipratropium"	1.77583255189166e-10
681	"DB01366"	"procaterol"	1.76555596503397e-10
682	""	"homatropine"	1.76381679378052e-10
683	"DB00820"	"tadalafil"	1.74682704724589e-10
684	"DB09076"	"umeclidinium"	1.73521834041562e-10
685	"DB09080"	"olodaterol"	1.72666478319712e-10
686	"DB01288"	"fenoterol"	1.71752285701227e-10
687	"DB11614"	"rupatadine"	1.70443894272213e-10
688	"DB00938"	"salmeterol"	1.70013970712515e-10
689	"DB11315"	"methylscopolamine"	1.66862507522474e-10
690	"DB13139"	"levalbuterol"	1.66058813401522e-10
691	""	"levocetirizine dihydrochloride"	1.63286709290662e-10
692	""	"ngf"	1.62919467720447e-10
693	"DB05219"	"crisaborole"	1.62908513997231e-10
694	"DB00523"	"alitretinoin"	1.60571257449969e-10
695	"DB00243"	"ranolazine"	1.59676346853695e-10
696	"DB00166"	"lipoic acid"	1.59544102442823e-10
697	"DB01388"	"mibefradil"	1.58501272809201e-10
698	"DB00816"	"metaproterenol"	1.58009551907814e-10
699	"DB00799"	"tazarotene"	1.57950185180183e-10
700	"DB06288"	"amisulpride"	1.57427800188102e-10
701	"DB00196"	"fluconazole"	1.56012568498746e-10
702	"DB01342"	"forasartan"	1.55778672583789e-10
703	"DB06763"	"saralasin"	1.55609240839426e-10
704	"DB09082"	"vilanterol"	1.54805988203352e-10
705	"DB00341"	"cetirizine"	1.5446835919085e-10
706	"DB01349"	"tasosartan"	1.54435103899665e-10
707	"DB00792"	"tripelennamine"	1.5374470435597e-10
708	"DB06016"	"cariprazine"	1.53237213681105e-10
709	"DB00266"	"dicoumarol"	1.52022784606199e-10
710	"DB06777"	"chenodiol"	1.51760423173744e-10
711	"DB00427"	"triprolidine"	1.50991752185649e-10
712	"DB11842"	"angiotensin ii"	1.49691279183008e-10
713	"DB00694"	"daunorubicin"	1.49098822547311e-10
714	"DB00800"	"fenoldopam"	1.48694791184429e-10
715	"DB00177"	"valsartan"	1.48098818442733e-10
716	"DB00104"	"octreotide"	1.46403061713512e-10
717	"DB01364"	"ephedrine"	1.46175968818566e-10
718	"DB00706"	"tamsulosin"	1.44061498177129e-10
719	"DB00983"	"formoterol"	1.43742729609006e-10
720	"DB00875"	"flupentixol"	1.43193207478905e-10
721	"DB14674"	"estramustine"	1.42989987725192e-10
722	"DB13139"	"levosalbutamol"	1.42356185995553e-10
723	""	"lipoic acid, alpha"	1.40987489708841e-10
724	"DB08922"	"perospirone"	1.40837453346323e-10
725	""	"(<i>r</i>)-cetirizine"	1.40740953887871e-10
726	"DB00473"	"hexylcaine"	1.39939729125074e-10
727	"DB01001"	"albuterol"	1.39931009427047e-10
728	"DB00245"	"benztropine"	1.39464499512055e-10
729	"DB11591"	"bilastine"	1.39459741631816e-10
730	""	"e-2007"	1.39348150531393e-10
731	"DB12789"	"dinoprost"	1.37605573036825e-10
732	"DB00950"	"fexofenadine"	1.37317552414541e-10
733	"DB09128"	"brexpiprazole"	1.37143821807232e-10
734	"DB00248"	"cabergoline"	1.37099141685887e-10
735	"DB00091"	"cyclosporine"	1.36714152093114e-10
736	"DB13919"	"candesartan"	1.36589798637063e-10
737	"DB00678"	"losartan"	1.3610811537728e-10
738	"DB02789"	"pregnenolone"	1.35428577205113e-10
739	"DB05271"	"rotigotine"	1.3505898496394e-10
740	"DB06777"	"chenodeoxycholic acid"	1.34698318390958e-10
741	"DB00682"	"warfarin"	1.34321176379314e-10
742	"DB00633"	"dexmedetomidine"	1.34252138353875e-10
743	"DB00181"	"baclofen"	1.34217801159845e-10
744	"DB00413"	"pramipexole"	1.34127479165963e-10
745	"DB01064"	"isoproterenol"	1.33699827799951e-10
746	"DB01064"	"isoprenaline"	1.33277417997722e-10
747	"DB08815"	"lurasidone"	1.32904816370105e-10
748	"DB00892"	"benoxinate"	1.32618329623768e-10
749	"DB05990"	"obeticholic acid"	1.32330330948652e-10
750	"DB00370"	"mirtazapine"	1.30781102322116e-10
751	"DB11160"	"phenyltoloxamine"	1.30554623403144e-10
752	"DB04948"	"lofexidine"	1.29968155435588e-10
753	""	"ergotidine"	1.29516771541361e-10
754	"DB00557"	"hydroxyzine"	1.28957492773479e-10
755	"DB08801"	"dimetindene"	1.2840529864933e-10
756	"DB13399"	"terguride"	1.28162249079664e-10
757	"DB00335"	"atenolol"	1.27961730630305e-10
758	"DB01062"	"oxybutynin"	1.25448429123644e-10
759	""	"haloperidol decanoate"	1.25287650308941e-10
760	"DB00668"	"epinephrine"	1.25009141370882e-10
761	""	"(-)-sulpiride"	1.24649967872781e-10
762	"DB13256"	"clothiapine"	1.21921051989118e-10
763	"DB15171"	"tirzepatide"	1.21892307750204e-10
764	""	"meglitinides"	1.21565115115748e-10
765	"DB09291"	"rolapitant"	1.21557816339898e-10
766	"DB00813"	"fentanyl"	1.20871246533681e-10
767	""	"opc-34712"	1.20373813679444e-10
768	"DB00915"	"amantadine"	1.20320871934841e-10
769	"DB08883"	"perampanel"	1.20242435480364e-10
770	"DB00450"	"droperidol"	1.19917785831932e-10
771	"DB13729"	"camostat"	1.19541945568497e-10
772	"DB00669"	"sumatriptan"	1.17768663070657e-10
773	"DB08950"	"indoramin"	1.17372370697638e-10
774	"DB00934"	"maprotiline"	1.17325630500882e-10
775	"DB09048"	"netupitant"	1.16335139589567e-10
776	"DB09052"	"blinatumomab"	1.14857985925588e-10
777	"DB01137"	"levofloxacin"	1.14838423218741e-10
778	"DB01144"	"dichlorphenamide"	1.14212077814798e-10
779	"DB00484"	"brimonidine"	1.1389048435167e-10
780	"DB12867"	"benperidol"	1.13394213555908e-10
781	"DB01239"	"chlorprothixene"	1.11818294254181e-10
782	"DB01200"	"bromocriptine"	1.11287505732592e-10
783	"DB05381"	"histamine"	1.11147899385951e-10
784	"DB00960"	"pindolol"	1.09676765504518e-10
785	"DB00408"	"loxapine"	1.09622526591712e-10
786	"DB00964"	"apraclonidine"	1.09613995236022e-10
787	"DB00527"	"dibucaine"	1.09310157772848e-10
788	"DB04946"	"iloperidone"	1.08190198062755e-10
789	""	"pgi<sub>2</sub>"	1.07901108217595e-10
790	"DB00703"	"methazolamide"	1.07273495901314e-10
791	"DB08987"	"etidocaine"	1.06430598245769e-10
792	"DB09216"	"tolfenamic acid"	1.06222686803976e-10
793	"DB00411"	"carbamoylcholine"	1.06026852853548e-10
794	"DB00797"	"tolazoline"	1.05770519630918e-10
795	"DB00368"	"norepinephrine"	1.05547086345642e-10
796	"DB00986"	"glycopyrronium"	1.05498151416222e-10
797	"DB00572"	"atropine"	1.04817728531838e-10
798	"DB01267"	"paliperidone"	1.03818450341399e-10
799	"DB01162"	"terazosin"	1.03554350223918e-10
800	"DB06691"	"mepyramine"	1.02023725997582e-10
801	"DB00975"	"dipyridamole"	1.01804053638118e-10
802	""	"talipexole"	1.0175257163645e-10
803	"DB01621"	"pipotiazine"	1.01172258321577e-10
804	"DB00419"	"miglustat"	9.95595820493392e-11
805	"DB00642"	"pemetrexed"	9.95021178308722e-11
806	""	"careram"	9.94631628271007e-11
807	"DB09223"	"blonanserin"	9.92360424081021e-11
808	""	"(-)-adrenaline"	9.87763508807222e-11
809	"DB00409"	"remoxipride"	9.85558162172443e-11
810	"DB00273"	"topiramate"	9.83161791140791e-11
811	"DB00808"	"indapamide"	9.71985499036266e-11
812	"DB00320"	"dihydroergotamine"	9.65513330330309e-11
813	""	"pyrithione zinc"	9.64854081659095e-11
814	"DB00629"	"guanabenz"	9.64010226959119e-11
815	"DB01253"	"ergonovine"	9.60242178380855e-11
816	"DB01097"	"leflunomide"	9.58383730247078e-11
817	"DB01059"	"norfloxacin"	9.50577090304771e-11
818	"DB04861"	"nebivolol"	9.43011374811457e-11
819	"DB00310"	"chlorthalidone"	9.2577176406193e-11
820	"DB09085"	"tetracaine"	9.25752060219954e-11
821	"DB01165"	"ofloxacin"	9.23199726251092e-11
822	"DB00294"	"etonogestrel"	9.20375250715235e-11
823	"DB00555"	"lamotrigine"	9.14877295312494e-11
824	"DB04941"	"crofelemer"	9.13351719510929e-11
825	"DB06717"	"fosaprepitant"	9.07750729972332e-11
826	"DB11738"	"rilmenidine"	8.95257038267092e-11
827	"DB00490"	"buspirone"	8.85820354213976e-11
828	"DB00203"	"sildenafil"	8.84357006518293e-11
829	"DB00311"	"ethoxzolamide"	8.80726628826793e-11
830	"DB00367"	"levonorgestrel"	8.77094260334496e-11
831	"DB06711"	"naphazoline"	8.73575473666978e-11
832	""	"(-)-noradrenaline"	8.72573912049619e-11
833	"DB01194"	"brinzolamide"	8.6627213066046e-11
834	"DB00772"	"malathion"	8.64034397147321e-11
835	"DB01021"	"trichlormethiazide"	8.55407746941514e-11
836	"DB01075"	"diphenhydramine"	8.51630966079275e-11
837	"DB09242"	"moxonidine"	8.41336618920466e-11
838	"DB06413"	"armodafinil"	8.361668857435e-11
839	"DB00575"	"clonidine"	8.35319612208726e-11
840	"DB00304"	"desogestrel"	8.35110710905949e-11
841	""	"rhucin"	8.25579755895217e-11
842	"DB06795"	"mafenide"	8.23215129484524e-11
843	"DB00920"	"ketotifen"	8.12247489366791e-11
844	"DB00872"	"conivaptan"	7.9717787042804e-11
845	""	"sulfamylon"	7.96529615621979e-11
846	"DB01409"	"tiotropium"	7.92022776935205e-11
847	""	"mepazine"	7.90554599737884e-11
848	"DB11642"	"pitolisant"	7.83690274533485e-11
849	""	"t<sub>4</sub>"	7.82148774752339e-11
850	"DB00210"	"adapalene"	7.80641375924196e-11
851	"DB06153"	"pizotyline"	7.76611244318467e-11
852	"DB14973"	"abrocitinib"	7.68834863651818e-11
853	"DB01079"	"tegaserod"	7.61942374621717e-11
854	"DB01085"	"pilocarpine"	7.56390384117149e-11
855	"DB05039"	"indacaterol"	7.46787067876087e-11
856	"DB05266"	"ibudilast"	7.44355916736719e-11
857	"DB08954"	"ifenprodil"	7.43427254189703e-11
858	""	"(+-)-tetrahydropalmatine"	7.41607927336881e-11
859	"DB00388"	"phenylephrine"	7.4087907506234e-11
860	"DB11708"	"peficitinib"	7.34933647938844e-11
861	"DB01018"	"guanfacine"	7.34351243637807e-11
862	"DB00782"	"propantheline"	7.34271620075383e-11
863	"DB08604"	"triclosan"	7.28451524026124e-11
864	"DB06736"	"aceclofenac"	7.2275623611134e-11
865	"DB11085"	"resorcinol"	7.11279671343076e-11
866	"DB00714"	"apomorphine"	7.02643685208803e-11
867	"DB00933"	"mesoridazine"	7.02150802615585e-11
868	"DB01011"	"metyrapone"	6.91915692376368e-11
869	"DB00904"	"ondansetron"	6.90054893689314e-11
870	"DB00185"	"cevimeline"	6.87529475422349e-11
871	"DB04665"	"coumarin"	6.85278327285095e-11
872	"DB00512"	"vancomycin"	6.84664754334295e-11
873	"DB01100"	"pimozide"	6.76979777309633e-11
874	"DB00323"	"tolcapone"	6.76879159836464e-11
875	"DB00205"	"pyrimethamine"	6.69988900615663e-11
876	""	"quinolones"	6.59065113256991e-11
877	"DB00804"	"dicyclomine"	6.51528827846739e-11
878	"DB00871"	"terbutaline"	6.43909746760430e-11
879	"DB06819"	"phenylbutyric acid"	6.35800928321101e-11
880	"DB16133"	"delgocitinib"	6.10088280858103e-11
881	""	"incruse ellipta"	6.05651041133537e-11
882	"DB01036"	"tolterodine"	6.02598972048101e-11
883	"DB00496"	"darifenacin"	5.9374811591111e-11
884	"DB15091"	"upadacitinib"	5.92279305254649e-11
885	"DB00809"	"tropicamide"	5.89791753992595e-11
886	"DB04855"	"dronedarone"	5.77293187276447e-11
887	"DB00980"	"ramelteon"	5.65729844425277e-11
888	"DB00204"	"dofetilide"	5.62928971686147e-11
889	"DB01241"	"gemfibrozil"	5.52902900025302e-11
890	"DB00835"	"brompheniramine"	5.45512840754963e-11
891	"DB11951"	"lemborexant"	5.38578222626536e-11
892	"DB11712"	"tezacaftor"	5.323281874306e-11
893	"DB01114"	"chlorpheniramine"	5.3186549625009e-11
894	"DB00563"	"methotrexate"	5.28499380544007e-11
895	"DB09071"	"tasimelteon"	5.23600688583002e-11
896	"DB06366"	"pertuzumab"	5.18661370746001e-11
897	"DB01623"	"thiothixene"	5.12198960708954e-11
898	"DB01611"	"hydroxychloroquine"	5.10128855524031e-11
899	"DB00279"	"triiodothyronine"	5.05295097235008e-11
900	"DB14993"	"pyrotinib"	5.02702850511518e-11
901	"DB06816"	"pyrvinium"	4.98040898415683e-11
902	"DB15444"	"elexacaftor"	4.97145689339518e-11
903	"DB06196"	"icatibant"	4.94446954632638e-11
904	"DB06742"	"ambroxol"	4.87665199701981e-11
905	"DB13225"	"dibenzepin"	4.86198021536208e-11
906	"DB11652"	"tucatinib"	4.84079835765413e-11
907	"DB08820"	"ivacaftor"	4.82908540088097e-11
908	"DB00387"	"procyclidine"	4.74352934131641e-11
909	""	"n-methyl scopolamine"	4.70241932110783e-11
910	"DB09280"	"lumacaftor"	4.68896354168827e-11
911	"DB09064"	"ciprofibrate"	4.56537894454463e-11
912	"DB12808"	"trifarotene"	4.46202641143636e-11
913	"DB11697"	"pacritinib"	4.43243893425557e-11
914	"DB01113"	"papaverine"	4.42306414152809e-11
915	"DB09031"	"miltefosine"	4.39928751218761e-11
916	"DB00537"	"ciprofloxacin"	4.39548728915783e-11
917	"DB13923"	"emicizumab"	4.37813408829003e-11
918	"DB04880"	"enoximone"	4.37265236008681e-11
919	""	"acocantherin"	4.32443752146083e-11
920	"DB04942"	"tamibarotene"	4.28359990325946e-11
921	"DB11963"	"dacomitinib"	4.26928518021905e-11
922	"DB04825"	"prenylamine"	4.24411579745397e-11
923	""	"allyl isothiocyanate"	4.22741705838899e-11
924	"DB06708"	"lumefantrine"	4.1923327715927e-11
925	"DB14845"	"filgotinib"	4.15180515520388e-11
926	"DB13502"	"budipine"	4.1319013465882e-11
927	"DB04552"	"niflumic acid"	4.0912415518316e-11
928	"DB00936"	"salicylic acid"	4.06658270394187e-11
929	"DB13725"	"terodiline"	4.06607895571619e-11
930	"DB00606"	"cyclothiazide"	4.03702996629529e-11
931	"DB06709"	"methacholine"	4.02925049473224e-11
932	"DB12082"	"vesnarinone"	4.01147539327582e-11
933	"DB01124"	"tolbutamide"	3.97633924573051e-11
934	"DB00879"	"emtricitabine"	3.93757607904208e-11
935	"DB09030"	"vorapaxar"	3.87709470327162e-11
936	""	"eicosapentaenoic acid/docosa-hexaenoic acid"	3.8745916192275e-11
937	"DB08828"	"vismodegib"	3.85260249349022e-11
938	"DB00524"	"metolazone"	3.82361148427754e-11
939	"DB11915"	"valbenazine"	3.82111010314774e-11
940	""	"betamethasone phosphoric acid"	3.81794514377018e-11
941	"DB01048"	"abacavir"	3.80524071347509e-11
942	"DB00501"	"cimetidine"	3.76926708072634e-11
943	"DB13499"	"cefsulodin"	3.76434628583278e-11
944	"DB00308"	"ibutilide"	3.76029533264847e-11
945	"DB00091"	"cyclosporin a"	3.71682538076914e-11
946	"DB00709"	"lamivudine"	3.71570584325355e-11
947	"DB16272"	"orelabrutinib"	3.70095236569459e-11
948	"DB06663"	"pasireotide"	3.6924841168356e-11
949	"DB00647"	"dextropropoxyphene"	3.66411781071941e-11
950	"DB00757"	"dolasetron"	3.66354437032823e-11
951	"DB00224"	"indinavir"	3.64382362043948e-11
952	"DB00730"	"thiabendazole"	3.59358341956071e-11
953	"DB15227"	"tirabrutinib"	3.58268168390621e-11
954	"DB02901"	"dihydrotestosterone"	3.53216551277601e-11
955	"DB01708"	"prasterone"	3.53184850937478e-11
956	"DB06650"	"ofatumumab"	3.5246967169137e-11
957	"DB00878"	"chlorhexidine"	3.49582847434953e-11
958	"DB15035"	"zanubrutinib"	3.47414849441679e-11
959	"DB00649"	"stavudine"	3.44505459614374e-11
960	"DB00869"	"dorzolamide"	3.43473259215525e-11
961	"DB00740"	"riluzole"	3.40748579954776e-11
962	""	"bestatin"	3.37192347778344e-11
963	"DB11988"	"ocrelizumab"	3.32961449442989e-11
964	"DB00073"	"rituximab"	3.2779684568791e-11
965	"DB09236"	"lacidipine"	3.27484299966814e-11
966	"DB04630"	"aldosterone"	3.25849753574447e-11
967	"DB00399"	"zoledronate"	3.25272010905819e-11
968	"DB00999"	"hydrochlorothiazide"	3.22283581126478e-11
969	"DB16390"	"mobocertinib"	3.20086026875163e-11
970	"DB09559"	"necitumumab"	3.18940435745585e-11
971	"DB11737"	"icotinib"	3.16898759710658e-11
972	"DB00671"	"cefixime"	3.16028168672368e-11
973	"DB01269"	"panitumumab"	3.15824187754151e-11
974	"DB00188"	"bortezomib"	3.14703448489983e-11
975	"DB06043"	"olaratumab"	3.11067905644214e-11
976	"DB00774"	"hydroflumethiazide"	3.09888718369841e-11
977	"DB00499"	"flutamide"	3.07519690605455e-11
978	""	"bibw 2992"	3.07209039401447e-11
979	"DB11901"	"apalutamide"	3.06995501428367e-11
980	"DB01227"	"levomethadyl"	3.03949818208788e-11
981	"DB00379"	"mexiletine"	3.02489595098405e-11
982	"DB01618"	"molindone"	3.01643625939259e-11
983	"DB01144"	"diclofenamide"	3.01233271889027e-11
984	"DB12783"	"benserazide"	3.00652700647978e-11
985	""	"topetecan"	3.00386238811231e-11
986	"DB01185"	"fluoxymesterone"	2.98639533917693e-11
987	"DB01656"	"roflumilast"	2.98177704588069e-11
988	""	"almonertinib"	2.96667525821850e-11
989	"DB00665"	"nilutamide"	2.96194488594147e-11
990	"DB14723"	"larotrectinib"	2.9568428630318e-11
991	"DB13164"	"olmutinib"	2.9342804898856e-11
992	"DB06448"	"lonafarnib"	2.92616300986273e-11
